id,post_id,type,maintype,network,pack_name,onnet_calls_baserate,onnet_calls_tax,calls_ptcl_baserate,calls_ptcl_tax,call_fnf_numbers,calls_fnf_baserate,calls_fnf_tax,offnet_calls_baserate,offnet_calls_tax,onnet_sms_baserate,onnet_sms_tax,offnet_sms_baserate,offnet_sms_tax,intl_sms_baserate,intl_sms_tax,mms_50kb,data_mb,incentives_total_min,incentives_fnf_min,incentivces_onnet_min,incentivces_offnet_min,incentivces_ptcl_min,incentivces_2g3g_min,sms_localnet,line_rent,sms_line_rent,security_deposit_nwd,security_deposit_isd,security_deposit_ir,notes,status,isms_maincategory_id,onnet_calls_2ndpulse,offnet_calls_2ndpulse,onnet_sms_2ndpulse,offnet_sms_2ndpulse,intl_sms_2ndpulse,fnf_numbers,fnf_baserate,fnf_tax,fnf_2ndpulse,calls_pulse_r,setup_calls_charges,gprs_mb,dailycharges,important_p,ussd_string,viewtype,workcode,updatenotes,mainheader,notifydomain,pkgstatus
2130,22,Postpaid,Packages,Jazz,Official,Rs 0.04/Min,Rs 0.04/Min,Rs 0.75/Min,Rs 0.75/Min,Rs 0.04/Min,Rs 0.04/Min,Rs 0.04/Min,Rs 0.75/Min,Rs 0.75/Min,Rs 0.10/SMS,Rs 0.10/SMS,Rs 0.10/SMS,Rs 0.10/SMS,0,0,Rs. 6.50,50GB,0,0,0,0,0,50GB,6000,0,0,0,0,5000,"MPTY = Free, MCA = Free, MY Status= Rs 15/-, ICS = Rs 20 /-, Mobitunes= Rs 45/- Overage of PKR 0/ MB ( 512 KB pulse)",A,3665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Description Category Area Official - Base - Default - Activation Postpaid Offers/Bundles Activation Official - Base - Default - Information Postpaid Offers/Bundles Information Official - Base - Default - Complaints - Incentive Issue Postpaid Offers/Bundles Complaints - Incentive Issue Official - Base - Default - Complaints - General Postpaid Offers/Bundles Complaints - General,WCs are udated,B2C,",CC - GSM JAZZ",Active
2138,23,Postpaid,Packages,Jazz,Employee,Rs. 0.75/Min,-,Rs 1.50/Min,-,Rs. 0.75/Min,Rs. 0.75/Min,-,Rs 1.50/Min,-,Rs 0.10/SMS,-,Rs 0.10/SMS,Rs 0.10/SMS,Rs. 3.00,-,0,25GB,0,0,0,0,0,25GB,6000,0,0,0,0,5000,"- 10GB @Rs 500+tax Add-On can be activated for exact 30 days via JW / USSD *9872# / CRM - Customer will be shifted to PAYG rate on auto once data incentive is consumed, hence, data will not be blocked - Base rate is 0.1/MB - Multiple subscriptions on official/employee add on is not applicable due to the limitation of CRM - MPTY & MCA are not FOC and will be charged as per standard rates",A,3666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Employee - Base - Default - Activation Employee - Base - Default - Information Employee - Base - Default - Complaints - Incentive Issue Employee - Base - Default - Complaints - Wrong/Over Charging Employee - Base - Default - Complaints - General,Work Code Updated,B2C,CC - GSM JAZZ,Active
2146,24,Postpaid,Packages,Jazz,Official for Testing,Rs. 0.50+tax,Rs. 0.50+tax,Rs 1.25/Min,Rs 1.25/Min,Rs. 0.50+tax,Rs. 0.50+tax,Rs. 0.50+tax,Rs 1.25/Min,Rs 1.25/Min,Rs 0.10/SMS,Rs 0.10/SMS,Rs 0.10/SMS,Rs 0.10/SMS,0,0,Rs 5+tax,25GB,0,0,0,0,0,25GB,6000,0,0,0,0,5000,MPTY & MCA are FOC,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Description Category Area Official for Testing - Base - Default - Information Postpaid Offers/Bundles Information Official for Testing - Base - Default - Complaints - Incentive Issue Postpaid Offers/Bundles Complaints - Incentive Issue Official for Testing - Base - Default - Complaints - Wrong/Over Charging Postpaid Offers/Bundles Complaints - Wrong/Over Charging Official for Testing - Base - Default - Complaints - General Postpaid Offers/Bundles Complaints - General Official for Testing - Base - Default - Activation Postpaid Offers/Bundles Activation,WCs are updated,B2C,CC - GSM JAZZ,Active
2154,25,Postpaid,Packages,Jazz,Ex-Official Package (Ex-PMCL),Rs. 0.50+tax,Rs. 0.50+tax,Rs 1.25/Min,Rs 1.25/Min,Rs. 0.50+tax,Rs. 0.50+tax,Rs. 0.50+tax,Rs 1.25/Min,Rs 1.25/Min,Rs 0.10/SMS,Rs 0.10/SMS,Rs 0.10/SMS,Rs 0.10/SMS,Rs. 5.00,Rs. 5.00,Rs 5+tax,25GB,0,0,0,0,0,25GB,6000,0,0,1000,1000,5000,"Base rate is 0.10/MB Multiple subscriptions on official/employee add on is not applicable due to the limitation of CRM MCA & MPTY will not be free and it will be charged as per standard rates Other VAS and Invoice details will be charged (where applicable). Data blocking menu (Flash message) is not pushed to XPMCL subscribers on consumption of Free data. We need to guide ex-employees about data capping of 25GB and base rate of Rs.0.10/MB after free data consumption.Postpaid Package/ Incentive Info Ex PMCL package user gets all bolt on packages as normal postpaid customer can get Now minimum deposit of Rs 1,000 will be required for official to Ex PMCL package conversion and credit limit will be set as per deposit amount .",A,8703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Description Category Area Ex PMCL - Base - Default - Information Postpaid Offers/Bundles Information Ex PMCL - Base - Default - Activation Postpaid Offers/Bundles Activation Ex PMCL - Base - Default - Complaints - Incentive Issue Postpaid Offers/Bundles Complaints - Incentive Issue Ex PMCL - Base - Default - Complaints - Wrong/Over Charging Postpaid Offers/Bundles Complaints - Wrong/Over Charging Ex PMCL - Base - Default - Complaints - General Postpaid Offers/Bundles Complaints - General,ISMS addition,B2C,"CC - GSM JAZZ,CC - GSM JAZZ,CC - GSM JAZZ,CC - GSM JAZZ",Active
2170,27,Postpaid,Packages,Jazz,M-Business,Rs. 1/minute,Rs. 1/minute,Rs 1.50/Min,Rs 1.50/Min,Rs. 1/minute,Rs. 1/minute,Rs. 1/minute,Rs 1.50/Min,Rs 1.50/Min,Rs. 0.20,Rs. 0.20,Rs 1.5+tax,Rs 1.5+tax,Rs. 5.00+tax,Rs. 5.00+tax,Rs 5+tax,0,100,0,60,40,0,0,0,Rs 125+tax,0,1200,1500,5000,Monthly 5% discount on bill amounts of Rs.1000 and greater,A,1146,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Description M Business - Base - Default - Information M Business - Base - Default - Complaints - General,WCs are updated,B2C,CC - GSM JAZZ,Active
2178,28,Postpaid,Packages,Jazz,M-Unlimited Basic,Rs. 0.3+tax,Rs. 0.3+tax,Rs 1.55+tax,Rs 1.55+tax,Rs. 0.3+tax,Rs. 0.3+tax,Rs. 0.3+tax,Rs 1.55+tax,Rs 1.55+tax,Rs. 0.20+tax,Rs. 0.20+tax,Rs 1.05+tax,Rs 1.05+tax,Rs. 5.00+tax,Rs. 5.00+tax,Rs 0.6+tax,0,5000,0,2800,1200,1000,nan,1000 On Net Only,Rs 5000+tax,Rs 25+tax,5000,5000,5000,N/A,A,288,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Description M Unlimited Basic - Base - Default - Activation M Unlimited Basic - Base - Default - Information M Unlimited Basic - Base - Default - Complaints - Wrong/Over Charging,WCs are updated,B2C,CC - GSM JAZZ,Active
2186,29,Postpaid,Packages,Jazz,M-Unlimited Premium,Rs 0.30+tax,Rs 0.30+tax,Rs 0.82+tax,Rs 0.82+tax,Rs 0.30+tax,Rs 0.30+tax,Rs 0.30+tax,Rs 1.55+tax,Rs 1.55+tax,Rs. 0.20+tax,Rs. 0.20+tax,Rs 0.20+tax,Rs 0.20+tax,Rs. 5.00+tax,Rs. 5.00+tax,Rs 5+tax,0,5000,-,2800,1200,1000,0,1000 On Net Only,Rs 6000+tax,Rs 25+tax,-,-,5000,N/A,A,290,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Description M Unlimited Premium - Base - Default - Activation M Unlimited Premium - Base - Default - Information M Unlimited Premium - Base - Default - Complaints - Wrong/Over Charging M Unlimited Premium - Base - Default - Complaints - General,WCs are updated,B2C,CC - GSM JAZZ,Active
2194,30,Prepaid,Packages,Jazz,Jazz lite,-,Rs. 1.80/30 Sec,nan,nan,nan,nan,nan,-,Rs. 1.80/30 Sec,-,Rs.2.15,-,-,10+tax / SMS,11.95/sms,Rs 6 / 50 KB,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A,3236,Rs.3.55,Rs.3.55,-,Rs.2.15,Rs.5.98,-,Rs 0.72/30 Sec,-,-,30 sec,Rs. 0.15,nan,-,"Dial *306# for conversion to Jazz lite Conversion fee is applicable Rs 17.93 Actual internet speed will depend on multiple factors like sim, device, web pages accessed, time of day, number of simultaneous users, distance from 2G/3G/4G site, etc If you are not subscribed to any bundle, base rate will be charged i.e. Rs.5/MB. Charging Pulse will be 512 KB Call setup fees is applicable 0.15 paisa No of FnF Allowed: 20 Jazz lite service is not allowed on CVMVOICE24HRS offer",*306#,CallCenter,Description Jazz Lite (30 Sec Bundle) - Base - Default - Activation Jazz Lite (30 Sec Bundle) - Base - Default - Information Jazz Lite (30 Sec Bundle) - Base - Default - Complaints - Incentive Issue Jazz Lite (30 Sec Bundle) - Base - Default - Complaints - Wrong/Over Charging Jazz Lite (30 Sec Bundle) - Base - Default - Complaints - General,nan,B2C,"ASM BSM,FRA - ALL,FSE groups",Active
2209,32,Postpaid,Packages,Jazz,M-Initial (Discontinued),2 rs,nan,2.15,nan,0.75,nan,nan,2.15,nan,1,nan,2.15,nan,5,nan,6,18,nan,nan,nan,nan,nan,nan,2.15,25/- rs,25/- rs,2000,2500,20000,"For Information only Once package migrated from M-Initial to any other package plan cannot be reverted back. This package is discontinued already charges are without tax if any customer is on M-initial package, guide better suitable package according to usage",A,738,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Postpaid Package/ Incentive Info,Work Code has been added,B2C,CC - GSM JAZZ,Active
2214,33,Postpaid,Packages,Jazz,Postpaid Hybrid Bolt ONs,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,As per main package,"Bolt ONs Price (Excl tax) MBs All Net Minutes SMS Subscription String Validity All in One – Budget Rs. 500 4000 (2000 + 2000 Social) 200 2000 *448*1# Monthly Recursive All in One – Mega Rs.1455.34 [Excl Tax] 17000 550 5000 *448*2# Monthly Recursive All in One – Lite Rs. 200 1000 100 1000 - Monthly Recursive Terms & Conditions: All in One – Lite Bolt – On is for selected customers only [No subscription request will be catered from helpline\frontend offices] Prices are exclusive of taxes All in One – Bolt Ons are mutually exclusive [One Hybrid Bolt - On can be subscribed at one time] All in One – Bolt On can be subscribed with existing available Bolt - Ons Products are available for postpaid consumer catalogue only [commercial packages only] All in One – Budget: Social data incentive (2000 MBs) can be consumed for WhatsApp, Facebook and Twitter only Subscription string will be valid for both Jazz and Warid As currently in practice for Data and Voice Bolt ONs Jazz subscribers: New subscriptions will be charged on ‘daily pro-rated basis’ according to their bill cycle Warid subscribers: New subscriptions will be charged on ‘advance pro-rated basis’ according to their bill cycle All-net minutes are available for all local networks Multiple subscriptions for hybrid Bolt ONs are not allowed Bolt ONs will be re-subscribed on bill day Product is subject to change at any time",A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Work Code Postpaid Data Bolt-on Info Postpaid Data Bolt-on Complaint,nan,B2C,CC - GSM JAZZ,Active
2222,34,Postpaid,Packages,Jazz,M-999,Rs.2.2+tax/min,-,Rs.2.2+tax/min,-,Rs. 0.75/Min,-,0.90/min,Rs.2.2+tax/min,-,Rs. 0.75+tax/SMS,-,0.90+tax/sms,-,Rs. 5+tax/SMS,-,-,Rs.2+tax/MB,-,500,3000,650,-,"4 GB Data [2G, 3G, 4G]",-,Rs.2401.31 [Excl Tax],Rs. 25,Rs. 1500,Rs. 1500,5000,Free Local SMS Incentive : 1000SMS,A,2166,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,M 999 - Base - Default - Activation M 999 - Base - Default - Information M 999 - Base - Default - Complaints - Wrong/Over Charging M 999 - Base - Default - Complaints - General,Revision in price,B2C,"CC - GSM JAZZ,CC - GSM JAZZ,CC - GSM JAZZ,CC - GSM JAZZ",Active
2230,35,Postpaid,Packages,Jazz,M-900,Rs.2.2+tax/min,-,Rs.2.2+tax/min,-,3,Rs.0.45/min,-,Rs.2.2+tax/min,-,Rs. 0.75+tax/SMS,-,1.91/sms,-,Rs. 5+tax/SMS,-,-,Rs. 2/MB,-,-,1000 All-Net Mins & 50 IDD,-,-,100 GB,10000,Rs.2183 [Excl Tax],-,Rs.3100,-,Rs 5000,"IDD Destinations: (AUS,CAN,USA,CHINA)",A,741,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,M 900 - Base - Default - Information,"IDD Destinations: (AUS,CAN,USA,CHINA)",B2C,CC - GSM JAZZ,Active
2241,38,Postpaid,Packages,Jazz,M-1500,Rs.2.2+tax/min,-,Rs.2.2+tax/min,-,Rs.0.45+tax/min,-,-,Rs.2.2+tax/min,-,Rs. 0.50+tax/SMS,-,Rs. 1.35+tax/SMS,-,Rs. 5.00+tax,-,-,900,1500,-,1500,-,-,5GB,-,Rs.2401.31 [Excl Tax],25,2500,2500,5000,nan,A,742,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,nan,Revision in price,B2C,"CC - GSM JAZZ,CC - GSM JAZZ,CC - GSM JAZZ,CC - GSM JAZZ",Active
2252,61,Postpaid,Packages,Jazz,Gold Basic (Gold 699),Rs.2/min + tax,-,Rs.2/min + tax,-,3,Rs.0.75+tax/min,-,Rs.2/min + tax,-,Rs.0.75+tax,-,Rs.0.75+tax,-,Rs 5+TAX,-,-,Rs.2+tax/MB,-,-,4500,300,-,15GB,4500,Rs.945.97 [Excl Tax],-,1400,-,Rs 5000,"Date: 2-July-2025 Gold Basic has been removed from Postpaid New Sale/Pre-Post Conversions as price and resources have been matched with Gold Value. Effective 2-July-2025, we will not offer Gold Basic(699) for Postpaid New Sale as well as for Pre to Post Conversion, instead, we can offer Gold Value or other available plans; 1- Gold Value 2- Gold Plus 3- Jazz Red 4- Jazz Red Z Offer Mechanics: All Price Plans are monthly recursive and pro-ratable; Maximum of 3 F&F numbers will be allowed; 4x Data Offer (For New Acquisition) will not be available for the New Price Plans. Important Points Gold Basic to Gold Classic Migration: 30k Customers on Gold Basic (PKR 750incl tax) will be migrated to Gold Classic (PKR 850 with additional 500 On Net Mins and 500 SMS) on 2nd Jun 2023. These customers have been sent a broadcast on 23rd May, the content of which is shared below: “Dear Customer, From 2-Jun-23, you will get 10GB, 3500 Onnet Min, 200 Offnet Min & 3500 SMS in only Rs.850 (Inc.Tax)/Month. Stay connected with Jazz Super 4G.” The customers calling on helpline before 1st Jun 2023 to revert their package will be excluded from Package Migration Activity. The customers calling between 1st Jun to 25th Jun 2023 will be reverted on Gold Basic on 2nd July 2023 and a credit note of PKR 100 will be posted to ensure positive customer experience The customers calling between 26th Jun to 25th July 2023 will be reverted on Gold Basic on 2nd Aug 2023 and a credit note of PKR 200 will be posted to ensure positive customer experience. Any customer requesting a package reversal after 25th July 2023 will not be entertained.",A,5156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Gold 699 - Base - Default - Activation Gold 699 - Base - Default - Information Gold 699 - Base - Default - Complaints - Incentive Issue Gold 699 - Base - Default - Complaints - Wrong/Over Charging Gold 699 - Base - Default - Complaints - General,"Gold Basic has been removed from Postpaid New Sale/Pre-Post Conversions as price and resources have been matched with Gold Value. Effective 2-July-2025, we will not offer Gold Basic(699) for Postpaid New Sale as well as for Pre to Post Conversion, instead, we can offer Gold Value or other available plans; 1- Gold Value 2- Gold Plus 3- Jazz Red 4- Jazz Red Z",B2C,"ASM BSM,FRA - ALL,FSE groups",Expired
2256,60,Postpaid,Packages,Jazz,Gold Plus (Gold 1199),Rs.2.2/min + tax,-,Rs.2.2/min + tax,-,3,Rs.0.75,Rs.0.75,Rs.2.2/min + tax,-,-,0.75,-,-,-,Rs 5/sms,-,Rs.2+tax/MB,-,-,6000,400,-,20 GB data,6000 SMS,Rs.1273.42 [Excl Tax],-,Rs1900,-,Rs 5000,"Offer Mechanics: Applicable for New Sales, Pre to Post Conversions, Port-Ins and for  conversions from J & Legacy Packages by CCR from Helpline; All Price Plans are monthly recursive and pro-ratable; Maximum of 3 F&F numbers will be allowed; 4x Data Offer (For New Acquisition) will not be available for the New Price Plans. Note: Visibility for Gold Packages in SIMOSA App  is currently under development. we will update you once any response is received Waiver of Rs1600 is applicable on Pre to Post only for this package for Gold and Platinum segments",A,5157,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Gold 1199 - Base - Default - Activation Gold 1199 - Base - Default - Information Gold 1199 - Base - Default - Complaints - Incentive Issue Gold 1199 - Base - Default - Complaints - Wrong/Over Charging Gold 1199 - Base - Default - Complaints - General,Revision in Line Rent and Security Deposit,B2C,"CC - GSM JAZZ,CC - RTG,CC - CFL,CC - QA,DFS - Helpline",Active
2260,59,Postpaid,Packages,Jazz,Gold Ultimate (Gold 1999),Rs.2.2/min + tax,-,Rs.2.2/min + tax,-,3,Rs.0.75,Rs.0.75,Rs.2.2/min + tax,-,-,0.75,-,-,-,Rs 5/sms,-,Rs.2+tax/MB,-,-,1000 All-Net Mins & 50 IDD,-,-,100GB,"10,000",PKR.2183 [Exc Tax],-,Rs.3100,-,Rs 5000,"IDD Destinations: (AUS,CAN,USA,CHINA) Date: 6-March-2025 Gold Ultimate will not be available for New Sale via any medium (Retailer App (BVS), DPOS, website and menu *446#). However, customer can opt Gold Ultimate via Change of Package Plan as per existing Deferred Change of Package Plan process. In case customer wants to have same incentives as were offered in Gold Ultimate at the time of New Sale, we will offer Jazz Red as Jazz Red and Gold Ultimate have same incentives with same price point. Offer Mechanics: Applicable for New Sales, Pre to Post Conversions, Port-Ins and for conversions from J & Legacy Packages by CCR; All Price Plans are monthly recursive and pro-ratable; Maximum of 3 F&F numbers will be allowed; 4x Data Offer (For New Acquisition) will not be available for the New Price Plans. Note: Visibility in JW APP is Currently under development we will update you once any changes are updated. Waiver of Rs2600 is applicable on Pre to Post only for this package for Gold and Platinum segments",A,5158,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,Gold 1999 - Base - Default - Activation Gold 1999 - Base - Default - Information Gold 1999 - Base - Default - Complaints - Incentive Issue Gold 1999 - Base - Default - Complaints - Wrong/Over Charging Gold 1999 - Base - Default - Complaints - General,"IDD Destinations: (AUS,CAN,USA,CHINA)",B2C,"CC - GSM JAZZ,CC - RTG,CC - CFL,CC - QA,DFS - Helpline",Active
2266,44,Postpaid,Packages,Jazz,W-350(DBSS Package),Rs 2.2+tax/min,-,Rs 2.2+tax/min,-,3,Rs 0.75/min,-,Rs 2.2+tax/min,-,Rs 0.75+tax,-,-,-,Rs 5+TAX/SMS,-,-,Rs.2+tax/MB,-,-,4500,300,-,15GB,4500,Rs.945.97 [Excl Tax],-,Rs.1400,-,-,Terminated Package plans to be migrated on this. Communication already shared for this. Tax to be applied as per region mentioned in CSRTB.,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CallCenter,W350 - Base - Default - Activation W350 - Base - Default - Information W350 - Base - Default - Complaints - Wrong/Over Charging,Revision in Security Deposit & Line Rent,B2C,"CC - GSM JAZZ,CC - RTG,CC - CFL,CC - QA,DFS - Helpline",Active
